TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
69437,1098920,15.826144562697122
224996,2521357,11.206230332983697
45050,558623,12.400066592674806
20846,315123,15.116713038472609
9569,105362,11.010763925175045
38275,531586,13.888595689092096
30607,437860,14.305877740386187
254730,2631283,10.329694186000864
7031,94394,13.425401792063719
68034,727522,10.693506188082429
6657,71918,10.803364879074659
44763,525434,11.738131939324889
5881,77615,13.19758544465227
16267,239309,14.711317391037069
115913,1489368,12.849016072399127
18038,245501,13.610211775141368
14952,205617,13.751805778491171
36260,477806,13.177220077220078
3510,53323,15.191737891737892
9329,142828,15.310108264551399
4958,72190,14.560306575231948
44426,818425,18.422207716202223
18344,267052,14.558002616659397
10601,127256,12.004150551834732
9001,139421,15.489501166537051
14186,194822,13.733399125898773
98182,1298972,13.230245869915056
10552,142033,13.460291887793783
12506,107050,8.559891252198945
6491,87830,13.53104298259128
12972,152929,11.789161270428615
7531,49698,6.599123622360908
4521,65562,14.501658925016589
3166,46213,14.596651926721416
7066,85090,12.042173789980186
50250,417668,8.311800995024875
4957,83398,16.82428888440589
33638,401390,11.932635709614127
51208,618450,12.07721449773473
13661,185046,13.545567674401582
6445,69580,10.795965865011636
16781,221972,13.227578809367737
4775,55527,11.62869109947644
20746,372469,17.953774221536683
4736,84430,17.827280405405407
4263,52999,12.432324653999531
21198,324306,15.298896122275686
4680,72754,15.545726495726496
9851,131718,13.371028321997766
3205,49142,15.332917316692667
82508,1254680,15.206767828574199
6907,66038,9.561025047053713
27732,430180,15.512043848261936
33634,598907,17.806594517452577
20606,229137,11.119916529166263
8718,111142,12.748566184904794
3985,39923,10.01831869510665
16261,220508,13.560543632002952
13560,174248,12.85014749262537
20468,356360,17.41059214383428
2626,35225,13.413937547600915
14808,245286,16.56442463533225
3095,27821,8.989014539579967
18472,224198,12.137180597661326
2372,27365,11.536677908937605
7930,104971,13.23720050441362
39439,555529,14.085778036968483
7687,90373,11.756602055418238
6794,77991,11.47939358257286
15436,188746,12.227649650168438
1340,21045,15.705223880597014
11003,164231,14.92602017631555
5455,74345,13.628780934922089
43587,734199,16.844449032968544
19598,279093,14.240891927747729
12869,135356,10.517988965731604
10250,139324,13.592585365853658
19006,236508,12.443859833736715
114641,1373978,11.985048978986576
12495,146500,11.72468987595038
14365,113569,7.905951966585451
7911,100628,12.72001011250158
14407,166552,11.560491427778164
8392,58293,6.9462583412774075
5389,75668,14.041195026906662
3554,47557,13.381260551491277
9040,104630,11.574115044247788
52810,423061,8.011001704222686
6441,102257,15.87595093929514
43964,467274,10.628559730688746
62841,717626,11.419710061902261
14370,190072,13.227000695894224
7492,74850,9.990656700480512
19573,253382,12.945486128850968
6565,65650,10.0
23755,401532,16.903051989054937
5365,78099,14.55712954333644
4848,59840,12.343234323432343
21094,311250,14.755380676969754
5174,73263,14.159837649787399
12683,151682,11.9594733107309
3705,54211,14.631848852901484
93815,1281432,13.659137664552578
8276,74627,9.017278878685355
29283,438115,14.961411057610217
34088,557839,16.36467378549636
26935,266391,9.890142936699462
13502,150528,11.14857058213598
4608,40794,8.852864583333334
22605,280372,12.403096660030966
16450,190991,11.610395136778115
18593,315433,16.965148174043996
2827,36305,12.842235585426247
18020,280259,15.55266370699223
3869,31206,8.065650038769707
20610,239147,11.603444929645804
2851,31608,11.086636267976148
9078,122436,13.48711169861203
43529,573944,13.185324726044707
9341,101006,10.81318916604218
9917,102038,10.289200363013007
18196,196821,10.816717959991207
1595,23403,14.672727272727272
13603,115002,8.454164522531794
7681,61775,8.042572581695092
53629,541260,10.09267373995413
23706,187692,7.9174892432295625
15647,103839,6.636352016360964
